"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","danyakyd",,,,"User:","danyakyd"
"Cmdline:","dstat -tcmndry --output metrics1_2cpu_4gb.csv 5",,,,"Date:","05 Apr 2026 04:59:01 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",
05-04 04:59:56,62.775,17.936,7.971,4.982,0,373984,187132,49592,3401940,345853.326,899904.989,386.615,12092.690,25.907,1750.730,6239,7531
05-04 05:00:01,67.444,14.488,7.494,5.495,0,367800,184696,49600,3410248,340872.272,852735.717,407.659,11062.759,48.959,1634.635,6155,7344
05-04 05:00:06,76.802,11.043,6.024,3.012,0,372512,166256,49608,3423588,314846.652,804034.078,706.776,10963.061,64.252,1654.499,6035,6927
05-04 05:00:11,54.717,35.285,5.114,4.091,0,398020,106316,49664,3457420,283482.344,743992.216,10550.673,21911.363,951.156,1574.010,5905,6635
05-04 05:00:16,47.603,33.930,9.115,5.064,0,397000,82156,49680,3482136,164234.441,431205.675,4444.271,18449.598,123.565,797.092,4062,4367
05-04 05:00:21,45.640,30.261,13.394,5.457,0,398292,129324,49692,3433600,246476.349,615635.254,9274.861,31499.602,354.207,1381.109,5558,6585
05-04 05:00:26,43.906,37.986,8.880,4.440,0,394344,124852,49704,3441976,262695.431,686668.210,19433.122,18805.610,332.502,1234.303,5654,6646
05-04 05:00:31,60.013,29.006,5.501,2.000,0,395340,77732,49712,3488084,330324.011,843599.905,13714.990,13650.976,1675.365,1616.352,7076,7485
05-04 05:00:36,71.470,11.576,7.550,4.530,0,382052,89704,49724,3488692,355113.073,913999.219,998.572,13408.242,86.570,1715.289,6402,7746
05-04 05:00:41,68.839,10.475,9.977,5.986,0,383584,76860,49732,3499776,367938.178,942588.734,430.992,13628.116,39.907,1706.009,6528,7997
05-04 05:00:46,65.613,11.520,9.516,8.014,0,376044,112844,49740,3471292,293867.247,773117.856,765.318,10502.092,48.083,1297.235,5496,6491
05-04 05:00:51,69.607,11.017,10.015,6.009,0,383488,88660,49748,3487868,440090.022,1125085.914,1426.201,15339.668,96.148,2156.327,7424,9525
05-04 05:00:56,68.859,11.477,8.982,5.489,0,380704,83656,49760,3495472,367178.737,935191.559,566.840,10139.255,33.931,1516.896,6521,8090
05-04 05:01:01,71.741,9.400,8.411,5.937,0,378280,78364,49768,3503032,359284.038,911964.012,692.668,11244.974,43.539,1658.446,6411,7907
05-04 05:01:06,66.859,10.529,10.529,8.423,0,375644,118016,49780,3466044,221661.495,572721.079,244.272,7235.520,21.058,949.715,4313,4727
05-04 05:01:11,80.462,9.995,4.998,2.999,0,395872,122104,49788,3441968,396753.567,1000923.147,1535.275,10738.927,106.949,1597.245,6926,8313
05-04 05:01:16,69.320,15.460,5.486,3.990,0,398116,84084,49796,3477720,235788.240,593202.432,2541.417,8186.794,316.181,1032.326,5243,5610
05-04 05:01:21,74.212,9.961,8.467,5.479,0,397496,99436,49804,3463024,360143.085,934994.960,247.042,9710.363,29.884,1518.116,6476,7829
05-04 05:01:26,69.627,10.595,9.586,5.550,0,385404,102068,49812,3472460,319773.681,818832.452,177.600,8504.614,21.191,1348.145,5939,7070
05-04 05:01:31,75.901,8.545,9.048,4.021,0,380768,99040,49824,3480100,420806.964,1062707.935,64.340,12510.146,8.043,1910.099,7251,8861
05-04 05:01:36,45.440,8.988,20.972,11.984,0,378576,95264,49836,3485904,297058.002,758410.095,71.905,8257.048,6.991,1270.315,5122,6517
05-04 05:01:41,67.372,11.478,9.981,5.989,0,375204,91232,49848,3493096,371726.052,939809.729,143.727,12212.839,14.972,1805.576,6573,8066
05-04 05:01:46,63.700,11.302,7.192,8.733,0,376196,85436,49856,3497756,179705.517,468311.076,49.316,4812.421,4.110,783.919,3875,4003
05-04 05:01:51,73.646,10.020,9.018,3.507,0,376420,80400,49864,3502428,419444.877,1027533.338,160.318,12128.082,16.032,1924.822,7320,9019
05-04 05:01:56,72.414,10.987,7.491,4.495,0,376344,119176,49720,3463852,346466.964,849428.817,583.306,11993.736,57.931,1718.956,6455,7625
05-04 05:02:01,73.341,10.902,7.433,4.955,0,377116,109632,50236,3472092,301635.523,795844.951,376.615,9768.191,43.608,1498.529,5691,6621
05-04 05:02:06,69.341,12.059,9.547,5.527,0,377200,99760,50244,3481864,310868.762,784989.348,209.028,10330.804,24.119,1564.695,5829,6750
05-04 05:02:11,74.329,12.556,7.031,3.516,0,396400,111608,50180,3451036,369743.113,943313.161,2511.112,12334.581,112.498,1874.294,6724,8137
05-04 05:02:16,69.750,14.448,5.480,3.488,0,391800,101024,50192,3466200,238046.348,614683.281,1119.988,9143.250,108.611,1328.242,5224,5847
05-04 05:02:21,52.673,25.343,12.423,4.969,0,383280,97576,50172,3478176,280765.790,713566.173,20902.297,21721.215,464.120,1342.668,6046,6973
05-04 05:02:26,24.762,42.590,21.295,4.952,0,386436,75012,49588,3498480,113835.420,298283.864,1109.333,29539.960,153.524,570.514,3676,3864
05-04 05:02:31,66.646,27.981,3.052,2.035,0,382880,86856,48240,3491836,176717.068,437667.248,27004.249,9694.668,3342.463,1015.457,5934,4155
05-04 05:02:36,68.526,12.414,7.945,5.959,0,380128,78040,48252,3503392,258717.623,670543.299,214.516,11305.805,15.890,1367.542,5167,5978
05-04 05:02:41,63.676,13.715,10.286,7.347,0,377264,77792,48256,3506492,323735.528,827851.821,297.807,11622.300,20.572,1496.871,5962,7113
05-04 05:02:46,64.430,10.489,9.490,9.989,0,374332,77568,48260,3509644,197538.284,493928.120,167.818,7647.687,16.982,884.039,4140,4348
05-04 05:02:51,65.727,14.440,8.963,4.979,0,373792,119040,47880,3469156,340718.994,857526.691,294.776,12531.955,33.859,1572.470,6085,7142
05-04 05:02:56,63.923,12.984,8.989,6.992,0,372600,106540,47880,3482848,290390.051,747864.175,1110.658,11817.718,69.916,1373.340,5365,6283
05-04 05:03:01,72.040,10.076,8.564,5.542,0,372840,98476,47884,3490668,338859.149,867181.669,205.542,11687.682,24.181,1514.361,6051,7158
05-04 05:03:06,71.595,9.944,8.949,4.972,0,373956,90244,47892,3497760,347938.048,874225.371,302.292,10954.106,30.826,1493.561,6283,7408
05-04 05:03:11,72.077,10.511,9.510,4.505,0,391780,116100,47596,3454392,434763.138,1128159.574,1077.155,13390.357,119.128,1871.006,7435,9339
05-04 05:03:16,70.955,14.191,4.893,4.404,0,398360,91908,47604,3471996,193453.730,489463.403,1064.815,6764.705,107.656,834.823,4710,4890
05-04 05:03:21,71.603,8.453,9.945,5.470,0,379132,111012,47612,3472180,365536.046,937444.292,521.112,11158.157,55.691,1635.933,6410,7874
05-04 05:03:26,71.127,9.585,9.585,6.558,0,369700,101040,47620,3491560,311507.011,803280.270,258.278,8410.192,24.214,1286.348,5623,6556
05-04 05:03:31,59.863,16.601,7.546,9.055,0,370004,85696,47628,3506592,350854.765,886930.276,152.927,131975.995,17.104,4654.212,6464,7655
05-04 05:03:36,73.957,8.995,8.495,4.997,0,370792,76372,47636,3515104,372499.037,914416.306,391.774,10593.886,23.986,1586.085,6546,7877
05-04 05:03:41,71.171,9.456,8.959,5.475,0,370092,118532,47644,3473636,355542.210,893465.238,784.378,9762.918,79.632,1524.958,6523,7871
05-04 05:03:46,73.592,8.688,5.622,5.111,0,369472,109720,47656,3483040,245748.624,618465.617,609.177,7661.726,38.840,1082.413,4862,5306
05-04 05:03:51,47.012,11.003,20.005,10.002,0,372472,98128,47664,3491616,324786.857,830608.225,452.111,10570.599,43.011,1463.360,5562,7274
05-04 05:03:56,70.758,10.886,8.907,4.948,0,370348,93088,47668,3498776,369088.462,941690.625,269.176,10672.027,28.699,1616.044,6586,8027
05-04 05:04:01,58.522,8.003,15.006,12.505,0,369848,86536,48100,3505388,322674.053,820795.839,344.127,9899.653,34.013,1419.524,5692,6996
05-04 05:04:06,65.200,11.361,9.385,8.397,0,374432,75744,48108,3511428,303374.655,758429.722,276.607,10360.908,24.697,1403.781,5631,6677
05-04 05:04:11,78.229,11.032,5.015,3.510,0,402244,83480,48116,3475968,332598.863,851287.606,8087.681,12444.438,953.793,1722.042,6521,7286
05-04 05:04:16,46.136,19.843,10.914,11.410,0,396108,89868,47932,3475904,157298.831,402402.279,12477.467,25137.492,1481.302,830.442,4523,4330
05-04 05:04:21,52.836,8.474,16.947,13.957,0,369624,107876,47944,3484352,291502.758,735921.597,626.052,17585.270,56.823,1461.452,5326,6556
05-04 05:04:26,72.629,9.949,7.462,5.472,0,366724,87968,47960,3507144,304738.453,771221.683,342.250,16770.231,42.781,1582.904,5878,6837
05-04 05:04:31,68.952,12.491,8.994,4.997,0,367064,101488,47968,3493228,425681.898,1079534.011,943.339,18507.040,96.932,2159.488,7359,9308
05-04 05:04:36,72.344,10.976,6.985,5.987,0,368156,91468,47980,3502000,324623.988,827190.716,654.586,14289.143,57.875,1645.447,6018,7028
05-04 05:04:41,70.249,12.544,9.032,5.018,0,366744,121232,47988,3473272,323311.810,798492.902,240.852,14162.103,29.103,1739.153,5996,6993
05-04 05:04:46,65.428,11.334,9.788,7.728,0,368080,111408,47996,3481752,295577.775,761944.766,754.227,13353.533,47.397,1525.971,5431,6363
05-04 05:04:51,72.355,8.982,8.982,5.988,0,367716,100620,48004,3492880,423594.552,1086941.020,918.165,15393.240,72.854,2007.988,7134,9007
05-04 05:04:56,72.387,10.484,8.487,4.992,0,368328,82252,48012,3510612,423002.961,1096318.934,1074.326,14026.147,68.893,2001.881,7287,9077
05-04 05:05:01,75.012,10.002,6.001,5.001,0,367144,120388,48020,3473728,309817.520,792922.856,1096.182,8841.470,112.019,1322.220,5880,6824
05-04 05:05:06,59.527,7.503,13.506,10.004,0,367116,109536,48028,3484600,312064.623,799496.708,736.329,8579.839,75.034,1313.588,5540,6932
05-04 05:05:11,70.895,7.988,10.484,4.993,0,384328,129696,48036,3447672,447912.761,1124887.853,1409.915,15377.265,124.815,2207.736,7683,9737
05-04 05:05:16,51.312,13.582,12.576,8.049,0,393444,97948,48044,3470288,200270.844,513653.390,414.517,7831.545,35.214,966.870,4165,4934
05-04 05:05:21,35.985,16.993,32.486,7.997,0,376572,105512,48048,3479592,250374.735,642811.609,1399.400,18687.994,149.936,1365.415,5314,6130
05-04 05:05:26,4.395,10.254,81.058,1.953,0,359040,114780,48056,3487468,0,0,8914.378,1718.811,182.624,208.992,1142,1047
05-04 05:05:31,2.503,8.510,66.576,7.509,0,372292,84872,48064,3504348,0,0,10500.046,7024.058,201.231,136.156,841,786
05-04 05:05:36,2.006,6.018,85.254,3.510,0,370920,86612,48072,3504004,0,0,0,1668.974,0,288.861,892,1341
05-04 05:05:41,1.501,7.503,84.534,5.002,0,374316,81068,48076,3506112,0,0,1400.556,2801.112,159.063,268.106,1070,1649
05-04 05:05:46,0.502,0.502,98.365,0,0,345972,102388,48084,3513072,142.529,180.671,0,513.907,0,43.160,131,129
05-04 05:05:51,0.498,0,99.552,0,0,345892,102388,48092,3513144,0,0,0,7.964,0,0.996,78,100
05-04 05:05:56,0.498,1.494,98.119,0,0,345164,102136,48092,3514100,0,0,0,1275.048,0,111.567,174,129
05-04 05:06:01,0.500,0,98.530,0,0,345024,102136,48096,3514232,0,0,0,0,0,0,67,100
05-04 05:06:06,0.502,6.018,85.758,5.517,0,345440,101648,48100,3514296,0,0,0,148855.260,0,1913.750,945,457
05-04 05:06:11,9.992,1.998,87.431,0,0,368048,129404,48108,3464212,0,0,927.272,1103.134,115.909,92.927,452,183
05-04 05:06:16,0.496,0,98.699,0.992,0,357764,138764,48112,3465132,0,0,0,119.034,0,6.944,95,114
05-04 05:06:21,0,0.498,99.075,0,0,352144,144336,48112,3465180,0,0,0,0,0,0,60,88
05-04 05:06:26,0,0.500,99.563,0,0,351252,145064,48116,3465340,0,0,0,0,0,0,73,96
05-04 05:06:31,0,0.501,98.783,0,0,351180,145112,48124,3465356,0,0,0,0,0,0,73,104
05-04 05:06:36,0.497,0,98.983,0,0,351432,144860,48132,3465348,0,0,0,19.896,0,2.984,81,116
05-04 05:06:41,0.498,0.498,99.160,0,0,353176,143096,48132,3465368,0,0,0,0,0,0,74,102
05-04 05:06:46,0.983,0,97.822,0,0,353172,143096,48136,3465368,0,0,0,0,0,0,79,85
05-04 05:06:51,0.500,0.500,99.034,0,0,353136,143096,48140,3465400,0,0,0,64.022,0,8.003,86,98
05-04 05:06:56,0,0,99.453,0,0,353088,143096,48148,3465440,0,0,0,0,0,0,64,88
05-04 05:07:01,0,0.504,99.310,0,0,353020,143096,48152,3465504,0,0,0,0,0,0,66,89
05-04 05:07:06,0,0,98.934,0,0,352932,143096,48160,3465584,0,0,0,19.886,0,2.983,78,110
05-04 05:07:11,0,0.496,99.733,0.496,0,353424,141836,48168,3466344,0,0,0,79.389,0,2.977,92,118
05-04 05:07:16,0,0,99.469,0,0,353408,141836,48168,3466360,0,0,0,0,0,0,77,105
05-04 05:07:21,0.495,0,99.461,0,0,353368,141836,48176,3466392,0,0,0,0,0,0,62,85
05-04 05:07:26,0,0.500,99.918,0,0,353352,141836,48184,3466400,0,0,0,0,0,0,67,89
05-04 05:07:31,0,0,99.927,0,0,353328,141836,48192,3466416,0,0,0,0,0,0,65,90
05-04 05:07:36,0,0,98.850,0,0,353312,141836,48192,3466432,0,0,0,0,0,0,81,96
05-04 05:07:41,0.501,0.501,99.618,0,0,353548,141584,48200,3466440,0,0,0,0,0,0,66,88
05-04 05:07:46,0,0,99.684,0,0,353540,141584,48208,3466440,0,0,0,0,0,0,51,78
05-04 05:07:51,0.497,0,98.997,0,0,353540,141584,48208,3466440,0,0,0,0,0,0,65,92
05-04 05:07:56,0.500,0.500,99.931,0,0,353180,141584,48440,3466568,0,0,0,0,0,0,59,80
05-04 05:08:01,0,0.496,99.201,0,0,353172,141584,48448,3466568,0,0,0,0,0,0,80,94
05-04 05:08:06,0,0,100.115,0,0,353144,141584,48448,3466596,0,0,0,0,0,0,45,73
05-04 05:08:11,0,0.498,99.116,0,0,353136,141584,48456,3466596,0,0,0,0,0,0,63,93
05-04 05:08:16,0.496,0,99.653,0,0,353128,141584,48464,3466596,0,0,0,0,0,0,55,69
05-04 05:08:21,0.506,0.506,99.105,0,0,353128,141584,48464,3466596,0,0,0,0,0,0,58,76
05-04 05:08:26,0,0,99.345,0,0,353120,141584,48472,3466596,0,0,0,0,0,0,45,66
05-04 05:08:31,0,0,99.911,0,0,353120,141584,48472,3466596,0,0,0,0,0,0,55,82
05-04 05:08:36,0,0.495,98.482,0,0,353116,141584,48476,3466596,0,0,0,31.673,0,0.990,80,74
05-04 05:08:41,0.496,0,99.278,0.496,0,353112,141584,48480,3466596,0,0,0,23.827,0,2.978,54,76
05-04 05:08:46,0.499,0,99.299,0,0,353112,141584,48480,3466596,0,0,0,0,0,0,59,74
05-04 05:08:51,0,0,98.929,0,0,353104,141584,48488,3466596,0,0,0,0,0,0,52,72
05-04 05:08:56,0.502,0,99.832,0,0,353096,141584,48496,3466596,0,0,0,0,0,0,69,86
05-04 05:09:01,0,0.497,99.452,0,0,353096,141584,48496,3466596,0,0,0,0,0,0,53,71
05-04 05:09:06,0,0.989,97.458,0.495,0,353056,141584,48504,3466628,0,0,0,11.873,0,2.968,71,73
05-04 05:09:11,0,0,99.193,0,0,353300,141332,48512,3466628,0,0,0,0,0,0,50,75
05-04 05:09:16,1.799,4.048,78.703,0,0,353300,141332,48512,3466628,0,0,0,3.598,0,0.899,180,79
05-04 05:09:21,0,0,99.016,0,0,353292,141332,48520,3466628,0,0,0,0,0,0,48,63
05-04 05:09:26,0.476,0.952,92.386,0,0,353292,141332,48520,3466628,0,0,0,0,0,0,75,67
05-04 05:09:31,17.905,0,47.747,0,0,353508,141108,48528,3466628,0,0,0,0,0,0,72,32
05-04 05:09:36,0.501,1.002,98.171,0.501,0,353504,141108,48532,3466628,0,0,0,0,0,0,89,90
