"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","danyakyd",,,,"User:","danyakyd"
"Cmdline:","dstat -tcmndry --output metrics2_2cpu_4gb.csv 5",,,,"Date:","05 Apr 2026 05:09:59 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",
05-04 05:16:54,1.501,3.502,94.560,0,0,341612,105416,50008,3512452,0,0,0,352.223,0,35.022,235,140
05-04 05:16:59,0,0,99.228,0,0,341580,105416,50016,3512476,0,0,0,119.673,0,8.975,78,100
05-04 05:17:04,1.004,2.008,96.394,0,0,341824,105164,50024,3512476,0,0,0,44.181,0,9.037,173,172
05-04 05:17:09,1.501,3.002,95.556,0,0,341884,105164,50032,3512408,0,0,0,128.075,0,19.011,208,170
05-04 05:17:14,0.500,0.500,99.405,0,0,341872,105164,50288,3512164,0,0,0,0,0,0,61,83
05-04 05:17:19,0.500,0,99.423,0,0,341864,105164,50296,3512164,0,0,0,0,0,0,58,72
05-04 05:17:24,0.996,1.494,97.616,0.498,0,341864,105164,50296,3512164,0,0,0,0,0,0,149,110
05-04 05:17:29,0.501,0,99.257,0,0,341856,105164,50304,3512164,0,0,0,0,0,0,58,75
05-04 05:17:34,0,0,99.698,0,0,341856,105164,50304,3512164,0,0,0,0,0,0,48,72
05-04 05:17:39,0.499,1.497,97.780,0,0,341848,105164,50308,3512168,0,0,0,0,0,0,164,133
05-04 05:17:44,0,0,99.485,0,0,341840,105164,50316,3512168,0,0,0,0,0,0,51,73
05-04 05:17:49,0,0,99.685,0,0,341840,105164,50316,3512168,0,0,0,0,0,0,53,66
05-04 05:17:54,0,1.997,96.839,0,0,342088,104912,50320,3512168,0,0,0,0,0,0,134,101
05-04 05:17:59,0,0,99.167,0,0,342080,104912,50328,3512168,0,0,0,0,0,0,69,81
05-04 05:18:04,0.500,1.501,97.597,0,0,342080,104912,50328,3512168,0,0,0,0,0,0,114,107
05-04 05:18:09,0.500,1.500,96.982,0,0,342040,104912,50336,3512200,0,0,0,0,0,0,159,114
05-04 05:18:14,0,0,99.333,0,0,342040,104912,50336,3512200,0,0,0,0,0,0,56,76
05-04 05:18:19,0.498,0.498,99.056,0,0,342036,104912,50340,3512200,0,0,0,0,0,0,49,68
05-04 05:18:24,0.500,2.000,96.977,0,0,342032,104912,50344,3512200,0,0,0,0,0,0,163,119
05-04 05:18:29,0.502,0,99.854,0,0,342032,104912,50344,3512200,0,0,0,0,0,0,46,62
05-04 05:18:34,0.504,0,99.321,0,0,342028,104912,50348,3512200,0,0,0,0,0,0,53,75
05-04 05:18:39,0.499,2.493,96.212,0,0,342024,104912,50352,3512200,0,0,0,0,0,0,173,120
05-04 05:18:44,0,0.500,99.086,0,0,342024,104912,50352,3512200,0,0,0,0,0,0,64,77
05-04 05:18:49,0,0,99.120,0,0,342016,104912,50360,3512200,0,0,0,0,0,0,45,66
05-04 05:18:54,1.001,2.001,97.063,0,0,342016,104912,50360,3512200,0,0,0,0,0,0,142,104
05-04 05:18:59,0,0,99.685,0,0,342012,104912,50364,3512200,0,0,0,0,0,0,55,82
05-04 05:19:04,0.500,2.000,97.015,0,0,342012,104912,50364,3512200,0,0,0,0,0,0,134,116
05-04 05:19:09,1.503,1.503,97.182,0,0,341980,104912,50368,3512228,0,0,0,0,0,0,171,121
05-04 05:19:14,0.501,0,99.255,0,0,341980,104912,50368,3512228,0,0,0,0,0,0,46,61
05-04 05:19:19,0,0.999,98.945,0,0,341972,104912,50376,3512228,0,0,0,0,0,0,60,72
05-04 05:19:24,1.501,2.501,97.050,0,0,341972,104912,50376,3512228,0,0,0,0,0,0,156,106
05-04 05:19:29,0.502,0,98.926,0,0,341968,104912,50380,3512228,0,0,0,0,0,0,53,61
05-04 05:19:34,0.502,0.502,99.351,0,0,341968,104912,50380,3512228,0,0,0,0,0,0,54,65
05-04 05:19:39,0.997,1.995,97.238,0,0,341964,104912,50384,3512228,0,0,0,0,0,0,160,105
05-04 05:19:44,0,0.496,99.784,0,0,341960,104912,50388,3512228,0,0,0,0,0,0,69,83
05-04 05:19:49,0,0.499,99.815,0,0,341960,104912,50388,3512228,0,0,0,0,0,0,50,66
05-04 05:19:54,0.496,2.481,96.250,0,0,341956,104912,50392,3512228,0,0,0,0,0,0,165,108
05-04 05:19:59,0,0.498,99.008,0,0,341956,104912,50392,3512228,0,0,0,0,0,0,54,74
05-04 05:20:04,0.500,1.001,98.062,0,0,341948,104912,50400,3512228,0,0,0,0,0,0,113,119
05-04 05:20:09,1.008,1.512,97.260,0,0,341916,104912,50400,3512260,0,0,0,0,0,0,150,111
05-04 05:20:14,0,0,99.555,0,0,341916,104912,50400,3512260,0,0,0,0,0,0,58,82
05-04 05:20:19,0,0,98.926,0,0,341916,104912,50400,3512260,0,0,0,0,0,0,70,80
05-04 05:20:24,0.502,2.007,97.346,0,0,342096,104664,50404,3512316,0,0,0,0,0,0,161,116
